t_004000.jpg,archive footage: Superman/Corto Maltese-style comic panel closeup (Italian text), not a shelf
t_004002.jpg,archive footage: comic panel closeup continued, not a shelf
s_004005_33.jpg,unrelated b-roll: blurry distant modern public library seen through railings, no legible spines
t_004006.jpg,unrelated b-roll: modern public library (glass architecture), distant/blurry, no legible spines
t_004008.jpg,unrelated b-roll: modern public library, blurry through railings
t_004010.jpg,unrelated b-roll: modern public library interior, person walking, no legible spines
t_004012.jpg,unrelated b-roll: modern public library, blurry through railings
t_004014.jpg,unrelated b-roll: modern public library stacks, distant, globe visible, no legible spines
t_004016.jpg,unrelated b-roll: modern public library, blurry through railings, jazz section sign
t_004018.jpg,unrelated b-roll: modern public library shelf with magazines, distant
t_004020.jpg,unrelated b-roll: modern public library, blurry reflection
t_004022.jpg,unrelated b-roll: German public library (WISSEN magazine cover visible), shelves visible but not Eco's collection, generic modern stacks
t_004024.jpg,unrelated b-roll: German public library shelves (WISSEN cover), generic modern stacks, not Eco's collection
t_004026.jpg,unrelated b-roll: German public library, student reading at desk, generic modern stacks
t_004028.jpg,unrelated b-roll: German public library, student reading at desk, generic modern stacks
s_004029_58.jpg,unrelated b-roll: German public library, generic modern stacks, not Eco's collection
t_004038.jpg,wide establishing shot of a grand historic library hall (vaulted ceiling, long corridor of glass-fronted cases) - too distant to read any spines
t_004042.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004044.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004046.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004048.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004050.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004054.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004056.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004100.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004102.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004106.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004108.jpg,talking head: archival interview footage of Umberto Eco, no shelves visible
t_004110.jpg,unrelated b-roll: famous baroque/rococo library hall (marbled columns, ornate ceiling, likely Wiblingen or similar abbey library), not Eco's collection, out of focus
t_004112.jpg,unrelated b-roll: same rococo library hall, distant green shelving, spines illegible
t_004114.jpg,unrelated b-roll: Wiblingen Abbey rococo library hall (ceiling inscription "Franc. Martinus Kuen...pinx. anno 1744" confirms), not Eco's collection, too distant
t_004116.jpg,unrelated b-roll: Wiblingen Abbey library hall, wide shot, spines illegible
s_004117_92.jpg,unrelated b-roll: Wiblingen Abbey library upper gallery with statue, distant shelves, spines illegible
t_004118.jpg,unrelated b-roll: Wiblingen Abbey library upper gallery, same as previous, spines illegible
t_004120.jpg,unrelated b-roll: Wiblingen Abbey library, wide rotunda view, spines illegible
s_004121_33.jpg,unrelated b-roll: Wiblingen Abbey library rotunda, wide establishing shot, spines illegible
t_004122.jpg,unrelated b-roll: Wiblingen Abbey library rotunda, wide shot, spines illegible
t_004126.jpg,unrelated b-roll: Wiblingen Abbey library rotunda, wide shot, spines illegible
t_004128.jpg,unrelated b-roll: Wiblingen Abbey library rotunda, wide shot, spines illegible
t_004130.jpg,unrelated b-roll: Wiblingen Abbey library rotunda, wide shot, spines illegible
t_004132.jpg,unrelated b-roll: Wiblingen Abbey library rotunda, wide shot, spines illegible
t_004134.jpg,unrelated b-roll: Wiblingen Abbey library rotunda, wide shot, spines illegible
s_004135_79.jpg,archival footage: Umberto Eco on stage reading from papers, red curtain backdrop, no shelves
t_004140.jpg,unrelated b-roll: Stuttgart City Library (iconic white cube atrium), wide shot, spines illegible
s_004140_12.jpg,unrelated b-roll: Stuttgart City Library atrium, wide shot, spines illegible
t_004142.jpg,unrelated b-roll: Stuttgart City Library atrium, wide shot, spines illegible
t_004144.jpg,unrelated b-roll: Stuttgart City Library atrium, wide shot, spines illegible
t_004146.jpg,unrelated b-roll: Stuttgart City Library atrium, wide shot, spines illegible
t_004148.jpg,unrelated b-roll: Stuttgart City Library atrium, wide shot, spines illegible
t_004150.jpg,unrelated b-roll: Stuttgart City Library atrium, wide shot, spines illegible
t_004152.jpg,unrelated b-roll: Stuttgart City Library atrium, wide shot, spines illegible
s_004153_25.jpg,unrelated b-roll: generic German public library "Romane" (novels) shelf, legible German-language spines but not Eco's collection
t_004154.jpg,unrelated b-roll: generic German public library "Romane" shelf, not Eco's collection
t_004156.jpg,unrelated b-roll: generic German public library "Romane" shelf, not Eco's collection
t_004202.jpg,archival footage: Umberto Eco on stage reading from papers, red curtain, no shelves
t_004204.jpg,archival footage: Umberto Eco on stage reading from papers, red curtain, no shelves
t_004206.jpg,institutional archive/stacks corridor with bronze bust and cataloguing carts (possibly the Bologna deposit), person walking away, too dark/distant for legible spines
t_004208.jpg,institutional archive/stacks corridor, same setting, spines have catalog tags but text illegible at this resolution/lighting
t_004210.jpg,institutional archive/stacks corridor, same setting, spines illegible
t_004212.jpg,institutional archive/stacks corridor, same setting, spines illegible
t_004214.jpg,institutional archive/stacks corridor, same setting, spines illegible
t_004216.jpg,institutional archive/stacks corridor, same setting, spines illegible
